Ticker,Name,Price,30 Day Price Change,Drug,NCT Number,Indication,Stage,Status,Next Catalyst,Catalyst Date,Catalyst,Conference,Historical LOA,Historical POP,Bullish or Bearish,Market Cap,Last Updated,No Of Shares
CMMB,Chemomab Therapeutics Ltd.,1.9300,1.75; 1.78; 1.65; 1.58; 1.64; 1.505; 1.52; 1.51; 1.5; 1.55; 1.56; 1.59; 1.62; 1.62; 1.7; 2.27; 2.4; 2.77; 1.97,Nebokitug,,rheumatoid arthritis (RA),phase2,Trial Planned,Initial Data,2028-06-30,"Phase 2 trial planned, noted July 08, 2026. Topline results are expected in H1 2028.",,100,100,Bull -% / Neutral -% / Bear -%,13881075,2026-07-08 07:55:59,7192267
IMNM,Immunome Inc.,24.6200,18.16; 18.36; 18.38; 18.07; 17.91; 18.53; 18.74; 19.18; 19.33; 19.75; 19.4; 19.96; 21.04; 21.19; 21.49; 23.61; 23.9; 24.39; 24.01,varegacestat (AL102) - (RINGSIDE),NCT04871282,Desmoid tumors,phase5,Ongoing,Regulatory Decision,2027-04-28,"PDUFA date of April 28, 2027.",,100,100,Bull -% / Neutral -% / Bear -%,2788224700,2026-07-08 07:35:10,113250394
OGEN,Oragenics Inc.,0.5700,0.5920000000000001; 0.622; 0.62; 0.624; 0.6106; 0.61; 0.5494; 0.578; 0.588; 0.5865; 0.5725; 0.5871; 0.59; 0.5806; 0.6061; 0.585; 0.58; 0.5722; 0.59145,ONP-002 - (Australian trial),NCT06870240,Moderate-to-severe concussion in the acute through subacute phases,phase2,Ongoing,Submission,2026-12-31,"Phase 2a achieved full activation in Australia by enrolling first patient, company submitted Type B meeting request to the FDA, advancing the U.S. regulatory pathway for ONP-002, noted July 7, 2027. Phase 2a second site activated, noted May 5, 2026. IND submission planned in 4Q 2026.",,100,100,Bull -% / Neutral -% / Bear -%,2571815,2026-07-07 10:28:05,4511957
ABOS,Acumen Pharmaceuticals Inc.,2.7100,2.24; 2.37; 2.37; 2.34; 2.29; 2.25; 2.26; 2.4; 2.41; 2.31; 2.21; 2.36; 2.77; 2.67; 2.59; 2.74; 2.67; 2.57; 2.73,ACU193 - (ALTITUDE-AD),NCT06335173,Early Alzheimer's disease,phase2,Data Released,Interim Data,2026-07-14,"Phase 2 early findings to be shared at AAIC on July 14, 2026. Phase 2 topline results to be shared in late 2026.",Alzheimer's Association International Conference (AAIC 2026) 12/07/2026 ET - 15/07/2026 ET Conference Calendar,100,100,Bull -% / Neutral -% / Bear -%,195736742,2026-07-07 07:44:21,72227580
ANVS,Annovis Bio Inc.,1.9550,1.72; 1.83; 1.78; 1.78; 1.79; 1.74; 1.75; 1.77; 1.74; 1.7; 1.65; 1.72; 1.86; 1.86; 1.92; 1.93; 1.97; 1.92; 1.99,Buntanetap (ANVS401),NCT06709014,Alzheimer’s disease (AD),phase3,Enrollment Conclusion,Topline Data,2027-03-31,"Completed patient enrollment with 850 participants in the pivotal Phase 3 trial, noted July 07, 2026. Topline symptomatic data are expected in Q1 2027.",,100,100,Bull -% / Neutral -% / Bear -%,67734627,2026-07-07 07:39:47,34646868
ATHE,Alterity Therapeutics Limited,5.2400,4.15; 4.11; 4.21; 4.41; 4.65; 5.14; 4.88; 4.93; 4.96; 5.065; 4.9; 4.82; 4.89; 5.37; 5.46; 5.36; 5.89; 5.49; 5.58,ATH434-201,NCT05109091,Multiple System Atrophy (MSA),phase3,Type Meeting,Submission,2026-12-31,"Received official FDA End-of-Phase 2 meeting confirming that a single pivotal Phase 3 trial plus confirmatory data could support an approval pathway for ATH434 in multiple system atrophy, noted July 07, 2026. Phase 3 trial activities are on track to initiate by year-end 2026.",,100,100,Bull -% / Neutral -% / Bear -%,94978872,2026-07-07 07:33:19,18125739
AGIO,Agios Pharmaceuticals Inc.,42.2400,28.88; 28.72; 29.46; 31.82; 31.84; 33.08; 34.16; 35.1; 35.59; 36.28; 36.2; 37.9; 38.04; 37.11; 37.08; 37.58; 37.39; 44.01; 42.76,Mitapivat (AG-348) - (RISE UP),NCT05031780,Sickle cell disease,phase5,Ongoing,Regulatory Decision,2026-11-01,"PDUFA Priority Review under Accelerated Approval date of November 1, 2026.",,100,100,Bull -% / Neutral -% / Bear -%,2512080764,2026-07-07 07:22:04,59471609
TVRD,Tvardi Therapeutics Inc.,3.8500,2.7; 2.71; 2.64; 2.67; 2.63; 2.58; 2.63; 2.68; 2.42; 2.35; 2.36; 1.5; 1.91; 1.9; 1.95; 2.02; 2.01; 3.1; 5,TTI-109,,Healthy volunteer,phase1,Data Released,,2026-12-31,"Released Phase 1 trial results confirming the compound's prodrug design, equivalent target exposure, and an improved tolerability profile  noted July 07, 2026",,100,100,Bull -% / Neutral -% / Bear -%,36118174,2026-07-07 07:19:49,9381344
CMPS,COMPASS Pathways Plc,13.7150,11.03; 11.41; 12.08; 11.79; 11.49; 11.94; 12.53; 12.63; 12.65; 12.58; 13.58; 14.82; 15.07; 14.15; 13.29; 13.62; 12.84; 12.99; 13.965,COMP360 psilocybin - (COMP006),NCT05711940,Treatment-resistant depression (TRD),phase4,Trial Planned,Submission,2026-12-31,"Phase 3 Part B data demonstrated that 39% of the 25 mg group achieved a sustained clinical response through the 26-week mark, with a two-dose regimen driving nearly 30% of responders into full remission, noted July 7, 2026. NDA planned for 4Q 2026. Phase 3 trial met primary endpoint with a reduction in symptom severity as measured by MADRS2 with a mean difference of -3.8 comparing 25 mg to 1 mg, noted February 17, 2026.",,100,100,Bull -% / Neutral -% / Bear -%,1850829924,2026-07-07 07:15:38,134949320
TCMD,Tactile Systems Technology Inc.,30.6400,25.97; 26.35; 26.31; 26.36; 26.43; 25.83; 26.62; 26.22; 26.45; 27.49; 28; 30.28; 30.27; 29.78; 30.65; 31.35; 31.87; 31.49; 29.98,COMP360 psilocybin - (COMP006),NCT05711940,Treatment-resistant depression (TRD),phase4,Trial Planned,Submission,2026-12-31,"Phase 3 Part B data demonstrated that 39% of the 25 mg group achieved a sustained clinical response through the 26-week mark, with a two-dose regimen driving nearly 30% of responders into full remission, noted July 7, 2026. NDA planned for 4Q 2026. Phase 3 trial met primary endpoint with a reduction in symptom severity as measured by MADRS2 with a mean difference of -3.8 comparing 25 mg to 1 mg, noted February 17, 2026.",,100,100,Bull -% / Neutral -% / Bear -%,691123806,2026-07-07 07:15:38,22556260
VXRT,Vaxart Inc.,0.5450,0.59; 0.5663; 0.55995; 0.575; 0.5625; 0.56865; 0.551; 0.535; 0.5189; 0.52; 0.50703; 0.5395; 0.5720000000000001; 0.605; 0.608; 0.64; 0.617; 0.5503; 0.5503,VXA-CoV2-1 - (XBB),NCT05067933,COVID-19 Vaccine (oral),phase2,Enrollment Initiation,Topline Data,2027-12-31,"Phase 2b data from cohort sentinel study showed no vaccine-related serious adverse events (SAEs) or sustained Grade 3 or higher adverse events related to the vaccine reported, noted July 6, 2026. Data from the complete study is currently anticipated in 2027.",,100,100,Bull -% / Neutral -% / Bear -%,131875291,2026-07-06 16:22:55,241973011
