Ticker,Name,Price,30 Day Price Change,Drug,NCT Number,Indication,Stage,Status,Next Catalyst,Catalyst Date,Catalyst,Conference,Historical LOA,Historical POP,Bullish or Bearish,Market Cap,Last Updated,No Of Shares
XOMA,XOMA Royalty Corporation,41.8900,41.65; 41.72; 41.74; 41.7; 41.71; 41.69; 41.69; 41.7; 42.4; 42.09; 41.92; 41.95; 41.76; 41.8; 41.79; 41.95; 41.78; 41.72; 41.89,Seralutinib (GB002) - (TORREY/PROSERA),NCT05934526,Pulmonary arterial hypertension (PAH),phase4,Trial Planned,End of Phase Meeting,2026-06-30,"FDA Confirms In-Person Pre-NDA Type B Meeting in June. Phase 3 topline data demonstrated a placebo-adjusted improvement in Six-Minute Walk Distance (6MWD) of +13.3 meters at Week 24 (p = 0.0320), which did not meet the prespecified threshold on the primary endpoint of p = 0.025, noted February 23, 2026. Gossamer plans to meet with the U.S. FDA to discuss the path forward.",,100,100,Bull -% / Neutral -% / Bear -%,525343747,2026-06-19 07:55:03,12541030
LGND,Ligand Pharmaceuticals Incorporated,274.8800,229.33; 235.33; 235.89; 234.66; 231.96; 229.78; 232.76; 234.4; 235.91; 237; 237.75; 243.28; 248.24; 254.57; 255.54; 253.25; 255.25; 263.14; 274.88,Seralutinib (GB002) - (TORREY/PROSERA),NCT05934526,Pulmonary arterial hypertension (PAH),phase4,Trial Planned,End of Phase Meeting,2026-06-30,"FDA Confirms In-Person Pre-NDA Type B Meeting in June. Phase 3 topline data demonstrated a placebo-adjusted improvement in Six-Minute Walk Distance (6MWD) of +13.3 meters at Week 24 (p = 0.0320), which did not meet the prespecified threshold on the primary endpoint of p = 0.025, noted February 23, 2026. Gossamer plans to meet with the U.S. FDA to discuss the path forward.",,100,100,Bull -% / Neutral -% / Bear -%,5508886848,2026-06-19 07:55:03,20041061
GOSS,Gossamer Bio Inc.,0.1680,0.2101; 0.22; 0.2179; 0.2111; 0.2309; 0.1981; 0.2002; 0.1883; 0.1778; 0.175; 0.1656; 0.16; 0.156; 0.1774; 0.1619; 0.16699999999999998; 0.1677; 0.179; 0.168,Seralutinib (GB002) - (TORREY/PROSERA),NCT05934526,Pulmonary arterial hypertension (PAH),phase4,Trial Planned,End of Phase Meeting,2026-06-30,"FDA Confirms In-Person Pre-NDA Type B Meeting in June. Phase 3 topline data demonstrated a placebo-adjusted improvement in Six-Minute Walk Distance (6MWD) of +13.3 meters at Week 24 (p = 0.0320), which did not meet the prespecified threshold on the primary endpoint of p = 0.025, noted February 23, 2026. Gossamer plans to meet with the U.S. FDA to discuss the path forward.",,100,100,Bull -% / Neutral -% / Bear -%,82126249,2026-06-19 07:55:03,488846722
QURE,uniQure N.V.,46.2900,24.19; 25.15; 25.17; 24.85; 28.53; 28.22; 26.76; 29.88; 27.99; 26.45; 27; 26.46; 26.82; 26.82; 27.57; 27.87; 26.99; 48.16; 46.29,AMT-260 - (GenTLE),NCT06063850,Refractory Temporal Lobe Epilepsy (rTLE),phase1,Ongoing,Interim Data,2027-06-30,"Phase 1/2a updated results expected 1H 2027. Phase 1/2a data were generally well tolerated, with no serious adverse events observed to date, and early biological signals of potential therapeutic activity, noted June 19, 2026.",,100,100,Bull -% / Neutral -% / Bear -%,2919393881,2026-06-19 07:33:44,63067485
MRNA,Moderna Inc.,63.9600,46.88; 47.03; 47.61; 47.57; 47.19; 46.06; 45.64; 49.06; 51.59; 47.44; 47.6; 47.73; 45.99; 49.64; 49.91; 52.13; 55.4; 61.8; 63.96,mRNA-1010 - (P304),NCT05415462,Seasonal influenza in U.S. adults 50 years of age and older,phase5,Ongoing,Regulatory Decision,2026-08-05,"Following the Type A Meeting, the FDA has accepted the BLA application, with a PDUFA date of August 5, 2026. FDA Ad Com voted unanimously in favor of the benefit-risk profile 9-0, noted June 18, 2026.",,100,100,Bull -% / Neutral -% / Bear -%,25378449126,2026-06-18 16:26:34,396786259
AZN,AstraZeneca PLC,174.9300,187.03; 187.19; 185.65; 185.33; 185.67; 179.71; 177.45; 176.28; 181.8; 185.95; 181.55; 183.43; 178.96; 182.28; 178.75; 177.27; 178.71; 177.89; 174.93,Ampligen (rintatolimod) with Imfinzi (durvalumab) - (DURIPANC),NCT05927142,Pancreatic Cancer,phase2,Data Released,,2026-12-31,"Phase 2 dosing commenced, noted June 18, 2026.  Phase 2 primary endpoint analysis anticipated in December 2026, with topline data expected in 1Q 2027.",,100,100,Bull -% / Neutral -% / Bear -%,551576275045,2026-06-18 16:24:48,3101451738
AIM,AIM ImmunoTech Inc.,0.3799,0.2372; 0.2327; 0.4011; 0.436; 0.4078; 0.8986; 0.8267; 0.732; 2.78; 2.77; 2.735; 2.79; 2.76; 0.4552; 0.3905; 0.388; 0.3931; 0.3829; 0.3766,Ampligen (rintatolimod) with Imfinzi (durvalumab) - (DURIPANC),NCT05927142,Pancreatic Cancer,phase2,Data Released,,2026-12-31,"Phase 2 dosing commenced, noted June 18, 2026.  Phase 2 primary endpoint analysis anticipated in December 2026, with topline data expected in 1Q 2027.",,100,100,Bull -% / Neutral -% / Bear -%,10532441,2026-06-18 16:24:48,27724245
LGVN,Longeveron Inc.,0.8201,0.8202; 0.8109999999999999; 0.7949; 0.8149; 0.7722; 0.77; 0.76; 0.8; 0.8; 0.73; 0.754; 0.7727; 0.7702; 0.7711; 0.7826; 0.79; 0.77; 0.84; 0.8201,Laromestrocel (lomecel-B) - (CLEAR MIND),NCT05233774,Alzheimer's Disease,phase2,Ongoing,Conference Presentation,2026-07-13,"Phase 2a data to be shared at AAIC on July 13, 2026. Phase 2/3 trial planned for 2H 2026. Phase 2a data presented at CTAD in late breaking presentation showed that that Lomecel-B's ability to inhibit MMP14 activity correlates with improved clinical and biomarker outcomes in Alzheimer's patients. This inhibition may help preserve TIE2 receptor integrity, potentially reducing inflammatory,  noted October 29, 2024.",Alzheimer's Association International Conference (AAIC 2026) 12/07/2026 ET - 15/07/2026 ET Conference Calendar,100,100,Bull -% / Neutral -% / Bear -%,25913480,2026-06-18 16:11:26,31597952
RHHBY,Roche Holding AG ADR,49.7400,53.34; 52.6; 52.47; 52.36; 52.4; 50.2199; 49.07; 49; 51.57; 51.48; 50.55; 50.23; 50.42; 51.35; 51.65; 51.005; 51.13; 51.06; 49.74,Lunsumio (mosunetuzumab) - (SUNMO),NCT05171647,Diffuse large B-cell lymphoma,phase5,Ongoing,Regulatory Decision,2027-02-09,"PDUFA date on February 9, 2027.",,100,100,Bull -% / Neutral -% / Bear -%,316870529082,2026-06-18 09:03:21,6370537376
ENTA,Enanta Pharmaceuticals Inc.,12.6600,13.95; 13.53; 13.19; 13.23; 13.16; 12.67; 12.03; 11.24; 11.73; 11.28; 11.07; 11.35; 11.7; 11.51; 11.9; 11.44; 12.07; 12.64; 12.66,Zelicapavir (EDP-938) - (RSVHR),NCT04633187,Respiratory Syncytial Virus Infections (RSV),phase3,Trial Planned,Topline Data,2027-12-31,"Phase 2b/3 study planned in 4Q 2027. Phase 2b topline data expected in 2027. Phase 2b data shared at AACR on April 18, 2026. Phase 2b topline results reported a clinically meaningful improvement in time to complete resolution of all 13 RSV symptoms was observed for zelicapavir compared to placebo, with a benefit of 2.2 days for the overall efficacy population and 6.7 days for patients with CHF, COPD or age ≥75, termed the HR3 population, which comprised the majority (81%) of the efficacy population, noted September 29, 2025.",,100,100,Bull -% / Neutral -% / Bear -%,368132291,2026-06-18 08:56:46,29078380
