Ticker,Name,Price,30 Day Price Change,Drug,NCT Number,Indication,Stage,Status,Next Catalyst,Catalyst Date,Catalyst,Conference,Historical LOA,Historical POP,Bullish or Bearish,Market Cap,Last Updated,No Of Shares
AZN,AstraZeneca PLC,182.2800,184.96; 181.58; 183.92; 184.64; 187.46; 189.75; 187.03; 187.19; 185.65; 185.33; 185.67; 179.71; 177.45; 176.28; 181.8; 185.95; 181.55; 183.43; 178.96; 182.25,Roxadustat - (MATTERHORN),NCT04592913,Anaemia of myelodysplastic syndromes (MDS),phase3,Data Released,,2026-06-11,"Phase 3 MATTERHORN trial post-hoc analysis data of roxadustat in anemic lower-risk MDS reported consistent and durable transfusion independence regardless of ring sideroblast status at EHA 2026, noted June 11, 2026.",European Hematology Association Congress (EHA26) 11/06/2026 ET - 14/06/2026 ET Conference Calendar,100,100,Bull -% / Neutral -% / Bear -%,557959237644,2026-06-11 16:46:34,3101451738
KYNB,Kyntra Bio Inc.,6.7600,7.01; 6.82; 6.83; 6.8; 6.95; 6.94; 6.99; 6.85; 7.01; 7.02; 6.9; 6.9; 6.84; 6.81; 6.81; 6.71; 6.63; 6.69; 6.69; 6.76,Roxadustat - (MATTERHORN),NCT04592913,Anaemia of myelodysplastic syndromes (MDS),phase3,Data Released,,2026-06-11,"Phase 3 MATTERHORN trial post-hoc analysis data of roxadustat in anemic lower-risk MDS reported consistent and durable transfusion independence regardless of ring sideroblast status at EHA 2026, noted June 11, 2026.",European Hematology Association Congress (EHA26) 11/06/2026 ET - 14/06/2026 ET Conference Calendar,100,100,Bull -% / Neutral -% / Bear -%,27365237,2026-06-11 16:46:34,4048112
TEVA,Teva Pharmaceutical Industries Limited American Depositary Shares,34.5600,35.31; 34.29; 34.03; 34.07; 34.32; 34.16; 34.07; 34.61; 34.56; 34.52; 35.32; 34.64; 33.08; 32.83; 34.43; 34.19; 33.26; 34.45; 33.58; 34.56,Ecopipam,,Tourette syndrome,phase4,Ongoing,Submission,2026-12-31,NDA planned for 2H 2026.,,100,100,Bull -% / Neutral -% / Bear -%,40242596152,2026-06-11 16:03:26,1164426972
CRBU,Caribou Biosciences Inc.,1.6600,2.14; 2.14; 2.07; 1.97; 2; 1.99; 2.1; 2.16; 2.31; 2.31; 2.36; 2.43; 2.32; 2; 2.065; 1.92; 1.84; 1.84; 1.79; 1.66,CB-011 - (CaMMouflage),NCT05722418,Multiple or Refractory Multiple Myeloma,phase1,Data Released,,2026-12-31,"Phase 1 data presented at EHA showed that a single dose of CB-011 produced deep, durable responses in heavily pretreated, BCMA-naïve patients with r/r MM: 83% CR rate, 91% MRD negativity, and 50% of patients in ≥CR at 15 months, noted June 11, 2026. Phase 1 initial dose expansion data in BCMA-naïve and BCMA-exposed patients expected 2H 2026.",,100,100,Bull -% / Neutral -% / Bear -%,164639755,2026-06-11 08:36:23,99180575
SLN,Silence Therapeutics Plc,6.6800,7.13; 6.1; 6.23; 5.77; 6.24; 6.49; 6.2; 6.64; 6.8; 6.86; 6.9; 6.53; 6.37; 6.41; 6.85; 6.17; 6.23; 6.01; 6; 6.68,Divesiran (SLN124) - (SANRECO),NCT05499013,Polycythemia Vera,phase2,Enrollment Conclusion,Topline Data,2026-08-31,"Phase 2 topline data planned for August 2026. Phase 2 enrollment completed October 23, 2025. Phase 2 data reported that therapeutic phlebotomies were essentially eliminated and mean hematocrit (HCT) levels were lowered and maintained to ≤ 45% for all cohorts regardless of baseline levels, noted June 11, 2026.",,100,100,Bull -% / Neutral -% / Bear -%,312624000,2026-06-11 07:48:28,46800000
RHHBY,Roche Holding AG ADR,51.3500,51.29; 51.09; 51.1; 51.86; 51.94; 52.71; 53.34; 52.6; 52.47; 52.36; 52.4; 50.2199; 49.07; 49; 51.57; 51.48; 50.55; 50.23; 50.42; 51.35,Tecentriq (atezolizumab) and Tecentriq Hybreza (atezolizumab and hyaluronidase-tqjs) in combination with chemotherapy,,Stage III colon cancer,phase5,,,2026-10-09,"PDUFA PR date on October 9, 2026.",,100,100,Bull -% / Neutral -% / Bear -%,327127094258,2026-06-11 07:21:20,6370537376
CLYM,Climb Bio Inc.,10.9100,11.33; 10.8; 9.88; 9.65; 10.52; 10.91; 11; 11.39; 11.96; 11.34; 10.96; 11.8; 11.2; 10.44; 10.91; 10.55; 10.77; 11.135; 10.8; 10.91,Budoprutug (TNT119),NCT07043946,Immune thrombocytopenia,phase1,Ongoing,Interim Data,2026-12-31,"Phase 1b/2a initial data shared at EHA 2026 demonstrate a favorable safety and tolerability profile, robust B-cell depletion, and encouraging platelet responses in heavily pretreated patients with primary immune thrombocytopenia, noted June 11, 2026. Additional data from higher dose cohorts by year-end 2026.",,100,100,Bull -% / Neutral -% / Bear -%,624739581,2026-06-11 07:18:57,57263023
TECX,Tectonic Therapeutic Inc.,29.3400,29.8; 27.89; 27.7; 27.29; 28.84; 28.52; 29.12; 29.99; 30.43; 29.78; 31.165; 28.89; 27.43; 28.42; 29.13; 29; 29.1; 28.56; 28.05; 29.34,TX45 - (APEX),NCT06616974,Group 2 Pulmonary Hypertension,phase2,Ongoing,Topline Data,2027-03-31,"Phase 2 enrollment completed, noted June 10, 2026. Phase 2 topline data expected in 1Q 2027. Phase 2 topline data due in 4Q 2026 or early 1Q 2027. Phase 1b data reported improved cardiac and pulmonary hemodynamics in PH-HFpEF patients across a range of left ventricular ejection fractions (""LVEF""), including LVEF≥50% and LVEF 41-49%, noted May 18, 2025.",,100,100,Bull -% / Neutral -% / Bear -%,553621917,2026-06-10 16:19:14,18869186
CLDX,Celldex Therapeutics Inc.,29.9600,32.45; 31.34; 30.22; 30.15; 30.9; 30.58; 30.73; 30.85; 31.65; 31.7; 31.43; 30.14; 28.9; 29.77; 29.93; 28.62; 28.56; 29.6; 29.35; 29.96,Barzolvolimab (CDX-0159),NCT05031624,Angioedema in Patients with CSU,phase2,Ongoing,Conference Presentation,2026-06-14,"Phase 2 onngoing with data expected at EEACI on June 14, 2026.",European Academy of Allergy and Clinical Immunology (EAACI 2026) Congress 06/12/2026 ET - 06/12/2026 ET Conference Calendar,100,100,Bull -% / Neutral -% / Bear -%,2351622477,2026-06-10 16:14:38,78492072
HUMA,Humacyte Inc.,1.0800,1; 0.9301; 0.8984; 0.8253; 0.9172; 1.02; 1.05; 1.11; 1.15; 1.28; 1.3; 1.45; 1.39; 1.4; 1.49; 1.35; 1.38; 1.39; 1.34; 1.08,ATEV V012,NCT05908084,Hemodialysis,phase3,Ongoing,Topline Data,2026-06-11,"Phase 3 topline data due top-line interim results are expected to be available for reporting June 11, 2026 at the Society of Vascular Surgery's (SVS) Vascular Annual Meeting (VAM). Phase 3 V012 interim analysis data of the acellular tissue engineered vessel (ATEV) met its superiority primary efficacy endpoint in female dialysis access patients, with plans to file a supplemental BLA with the FDA in the second half of 2026, noted June 10, 2026.",,100,100,Bull -% / Neutral -% / Bear -%,239780637,2026-06-10 16:10:57,222019108
CLDX,Celldex Therapeutics Inc.,29.9600,32.45; 31.34; 30.22; 30.15; 30.9; 30.58; 30.73; 30.85; 31.65; 31.7; 31.43; 30.14; 28.9; 29.77; 29.93; 28.62; 28.56; 29.6; 29.35; 29.96,CDX-622,NCT06650761,Chronic inflammation,phase1,Ongoing,Conference Presentation,2026-06-14,"Phase 1 data to be shared at EAACI on June 14, 2026. Phase 1 part 2 and 3 data due in 3Q 2026. Phase 1a dosing commenced, noted November 20, 2024. Phase 1 part 1 data reported that a single dose of CDX-622 resulted in a rapid and sustained decrease (~50%) in circulating tryptase consistent with systemic mast cell inhibition and depletion, noted November 3, 2025.",European Academy of Allergy and Clinical Immunology (EAACI 2026) Congress 06/12/2026 ET - 06/12/2026 ET Conference Calendar,100,100,Bull -% / Neutral -% / Bear -%,2351622477,2026-06-10 16:08:59,78492072
CYTH,Cyclo Therapeutics Inc.,0.7206,,Trappsol Cyclo - (TransportNPC),NCT04860960,Niemann-Pick Disease Type C,phase3,Ongoing,Topline Data,2026-12-31,"Phase 3 96-week study last patient completed, noted June 10, 2026. Phase 3 topline data expected 2H 2026. The company has had a pre-NDA meeting with the FDA and expects to submit an NDA 2H 2026",,100,100,Bull -% / Neutral -% / Bear -%,20730260,2026-06-10 08:29:15,28768055
RFL,Rafael Holdings Inc. Class B,2.1200,1.31; 1.29; 1.29; 1.35; 1.37; 1.33; 1.34; 1.32; 1.37; 1.39; 1.37; 1.39; 1.37; 1.35; 1.39; 1.55; 1.63; 1.93; 1.78; 2.12,Trappsol Cyclo - (TransportNPC),NCT04860960,Niemann-Pick Disease Type C,phase3,Ongoing,Topline Data,2026-12-31,"Phase 3 96-week study last patient completed, noted June 10, 2026. Phase 3 topline data expected 2H 2026. The company has had a pre-NDA meeting with the FDA and expects to submit an NDA 2H 2026",,100,100,Bull -% / Neutral -% / Bear -%,110265737,2026-06-10 08:29:15,52012140
IPSC,Century Therapeutics Inc.,2.2400,2.38; 2.34; 2.28; 2.12; 2.25; 2.27; 2.26; 2.17; 2.305; 2.385; 2.45; 2.36; 2.17; 2.07; 2.2; 2.13; 2.12; 2.21; 2.12; 2.24,CNTY-813,,Type 1 Diabetes,phase0,Trial Planned,Initial Data,2027-12-31,IND application due in 4Q 2026. Phase 1 initial clinical data expected in 2H 2027.,,100,100,Bull -% / Neutral -% / Bear -%,403994772,2026-06-10 07:23:19,180354809
TAK,Takeda Pharmaceutical Company Limited American Depositary Shares (each representing 1/2 of a share of),15.8700,16.63; 16.61; 16.57; 16.58; 16.68; 16.48; 16.25; 15.87; 16.15; 16.15; 15.96; 15.19; 15.18; 15.03; 15.45; 15.6; 15.74; 15.72; 15.68; 15.87,ENTYVIO (vedolizumab) - (KEPLER),NCT04779307,Severely active ulcerative colitis (UC),phase5,Ongoing,Regulatory Decision,2027-03-31,PDUFA Date expected 1Q 2027.,,100,100,Bull -% / Neutral -% / Bear -%,49947639764,2026-06-09 16:49:17,3147299292
IRON,Disc Medicine Inc.,68.0800,69.7; 66.86; 66.85; 64.07; 67.03; 67.13; 66.82; 68.12; 69.76; 70.8; 69.57; 71.97; 68; 70.35; 71.11; 67; 65.8; 68.34; 67.25; 68.08,Bitopertin - (APOLLO),NCT05308472,Erythropoietic Protoporphyria (EPP),phase3,Ongoing,Topline Data,2026-12-31,"Phase 3 type A meeting completed with FDA  for alignment on phase 3 study as a previous CRL response, noted June 9, 2026. Phase 3 data expected 4Q 2026, after which a CRL response will be submitted with an FDA decision expected by mid-2027.",,100,100,Bull -% / Neutral -% / Bear -%,2600593979,2026-06-09 08:59:20,38199089
OCS,Oculis Holding AG,11.0000,30.22; 30.29; 28.07; 27.96; 27.91; 31; 29.49; 29.93; 29.61; 29.65; 22.705; 14.51; 12.29; 13.14; 11.83; 11.21; 10.71; 10.98; 10.97; 11,Licaminlimab (OCS-02) - (PREDICT-1),NCT05896670,Dry eye disease,phase3,Ongoing,Topline Data,2026-12-31,"Phase 3 ongoing with topline data expected YE 2026. This FDA-aligned trial targets the specific TNFR1 genotype to maximize treatment effects, with ~70% of clinical sites already activated and patients in the run-in phase, noted June 9, 2026",,100,100,Bull -% / Neutral -% / Bear -%,637828818,2026-06-09 07:23:53,57984438
ASND,Ascendis Pharma A/S,215.6000,245.49; 240.5; 237.64; 237.98; 241.34; 247.51; 247.05; 239.65; 235.26; 237.47; 224.11; 218.82; 216.6; 216.79; 218.84; 210.45; 205.81; 213.23; 209.79; 215.6,TransCon hGH/TransCon CNP combination - (COACH),,Achondroplasia,phase2,Data Released,Conference Presentation,2026-06-15,"Phase 2 additional 52-week data to be shared at ENDO on June 15, 2026. Phase 2 52 week data reported that in the treatment-naïve cohort, the mean change in tibial femoral angle (TFA) Z-score was -0.86, and was -0.47 for TransCon CNP monotherapy, noted April 8, 2026.",Endocrine Society Congress (ENDO26) 13/06/2026 ET - 16/06/2026 ET Conference Calendar,100,100,Bull -% / Neutral -% / Bear -%,13362329165,2026-06-08 17:20:32,61977408
AZN,AstraZeneca PLC,182.2800,184.96; 181.58; 183.92; 184.64; 187.46; 189.75; 187.03; 187.19; 185.65; 185.33; 185.67; 179.71; 177.45; 176.28; 181.8; 185.95; 181.55; 183.43; 178.96; 182.25,Ampligen (rintatolimod) with Imfinzi (durvalumab) - (DURIPANC),NCT05927142,Pancreatic Cancer,phase2,Data Released,,2026-12-31,"Phase 2 data reported positive progress in a mid-year update evaluating AIM's drug Ampligen® (rintatolimod) combined with AstraZeneca's anti-PD-L1 immune checkpoint inhibitor Imfinzi (durvalumab) in the treatment of metastatic pancreatic cancer patients with stable disease post-FOLFIRINOX standard of care , noted June 8, 2026",,100,100,Bull -% / Neutral -% / Bear -%,557959237644,2026-06-08 17:02:14,3101451738
AIM,AIM ImmunoTech Inc.,0.4599,0.258; 0.253; 0.408; 0.41100000000000003; 0.2531; 0.2435; 0.2372; 0.2327; 0.4011; 0.436; 0.4078; 0.8986; 0.8267; 0.732; 2.78; 2.77; 2.735; 2.79; 2.76; 0.4552,Ampligen (rintatolimod) with Imfinzi (durvalumab) - (DURIPANC),NCT05927142,Pancreatic Cancer,phase2,Data Released,,2026-12-31,"Phase 2 data reported positive progress in a mid-year update evaluating AIM's drug Ampligen® (rintatolimod) combined with AstraZeneca's anti-PD-L1 immune checkpoint inhibitor Imfinzi (durvalumab) in the treatment of metastatic pancreatic cancer patients with stable disease post-FOLFIRINOX standard of care , noted June 8, 2026",,100,100,Bull -% / Neutral -% / Bear -%,11220927,2026-06-08 17:02:14,24398623
UPB,Upstream Bio Inc.,6.3800,8.79; 9.09; 8.51; 8.03; 8.41; 8.46; 8.37; 8.21; 8.26; 8.32; 8.36; 8.08; 7.25; 7.63; 7.43; 7.05; 6.45; 6.69; 6.28; 6.38,verekitug - (VIBRANT),NCT06164704,Chronic Rhinosinusitis With Nasal Polyps,phase3,Trial Planned,Conference Presentation,2026-06-14,"Phase 2 data to be shared at EAACI on June 14, 2026. Phase 3 planned in CRSwNP as well as for asthma in 1Q 2027.  Phase 2 data shared at ATS reported a statistically significant and clinically meaningful improvement in asthma symptom control as measured by the Asthma Control Questionnaire-6 (ACQ-6), noted May 18, 2026.",European Academy of Allergy and Clinical Immunology (EAACI 2026) Congress 06/12/2026 ET - 06/12/2026 ET Conference Calendar,100,100,Bull -% / Neutral -% / Bear -%,347199511,2026-06-08 16:53:24,54419986
SABS,SAB Biotherapeutics Inc.,3.3800,3.89; 3.7; 3.56; 3.55; 3.68; 3.81; 3.9; 3.81; 3.6; 3.57; 3.6; 3.44; 3.48; 3.36; 3.47; 3.38; 3.4; 3.36; 3.31; 3.38,SAB-142 - (SAFEGUARD),NCT07187531,Type 1 Diabetes,phase2,Ongoing,Topline Data,2027-12-31,"Data presented at ADA on June 5, 2026. Phase 2b topline data readout expected 2H 2027. Phase 1 additional data showed that all 4 T1D participants receiving SAB-142 showed C-peptide preservation with 3 of the 4 participants showing a super responder profile concomitant with T cell exhaustion, noted April 22, 2026. Phase 2b first patient dosed December 18, 2025.",,100,100,Bull -% / Neutral -% / Bear -%,258448638,2026-06-08 15:07:38,76464094
