Ticker,Name,Price,30 Day Price Change,Drug,NCT Number,Indication,Stage,Status,Next Catalyst,Catalyst Date,Catalyst,Conference,Historical LOA,Historical POP,Bullish or Bearish,Market Cap,Last Updated,No Of Shares
SMMT,Summit Therapeutics Inc.,14.9800,14.18; 14.01; 14.32; 14.57; 14.38; 15.42; 15.93; 15.88; 15.69; 15.48; 15.25; 15.3; 15.47; 15.07; 13.76; 13.81; 13.5; 14.63; 14.74; 14.98,Ivonescimab (SMT112) with chemotherapy - (HARMONi-3),NCT05899608,First-line metastatic squamous NSCLC patients,phase3,Ongoing,Interim Data,2027-06-30,Phase 3 enrollment is ongoing with completion expected 2Q 2026. Phase 3 PFS cohort data expected 1H 2027.,,100,100,Bull -% / Neutral -% / Bear -%,11626916422,2026-07-23 16:43:42,776162645
SMMT,Summit Therapeutics Inc.,14.9800,14.18; 14.01; 14.32; 14.57; 14.38; 15.42; 15.93; 15.88; 15.69; 15.48; 15.25; 15.3; 15.47; 15.07; 13.76; 13.81; 13.5; 14.63; 14.74; 14.98,Casdatifan (AB521) + ivonescimab,,Clear cell renal cell carcinoma (ccRCC),phase1,Trial Planned,Initial Data,2027-08-31,Phase 1 study planned with data to be generated by mid-2027.,,100,100,Bull -% / Neutral -% / Bear -%,11626916422,2026-07-23 16:41:48,776162645
RCUS,Arcus Biosciences Inc.,29.7300,30.25; 31; 31.08; 30.83; 28.92; 30.33; 29.98; 30.25; 30.26; 29.96; 28.92; 28.07; 28.33; 28.02; 26.64; 27.37; 28.17; 29.48; 29.97; 29.73,Casdatifan (AB521) + ivonescimab,,Clear cell renal cell carcinoma (ccRCC),phase1,Trial Planned,Initial Data,2027-08-31,Phase 1 study planned with data to be generated by mid-2027.,,100,100,Bull -% / Neutral -% / Bear -%,3739236106,2026-07-23 16:41:48,125773162
PRME,Prime Medicine Inc.,2.9700,3.18; 3.43; 3.72; 3.69; 3.89; 3.87; 3.99; 3.99; 4.62; 4.23; 3.78; 3.515; 3.47; 3.49; 3.22; 3.13; 3.05; 3.12; 3.09; 2.97,PM577,,Wilson's Disease (WD),phase0,Ongoing,Initial Data,2027-12-31,"IND cleared by the FDA, noted July 23, 2026. CTA cleared by Medsafe (New Zealand Health Authority), Phase 1/2 study planned, noted June 18, 2026. Phase 1/2 initial data expected in 2027.",,100,100,Bull -% / Neutral -% / Bear -%,536433829,2026-07-23 16:35:14,180617451
MGNX,MacroGenics Inc.,4.0100,4.66; 4.81; 4.86; 4.62; 4.62; 4.71; 4.57; 4.75; 4.66; 4.57; 4.33; 4.5; 4.29; 4.32; 4.12; 4.49; 4.32; 4.54; 4.3; 4.01,Lorigerlimab - (LINNET),NCT06730347,Gynecologic cancers,phase2,Hold Removed,Conference Presentation,2026-10-26,"Phase 2 data to be shared at ESMO on October 26, 2026. Phase 2 FDA partial hold removed, noted April 8, 2026. Phase 2 clinical hold announced February 23, 2026. MacroGenics continues to plan for a clinical update in mid-2026.",European Society for Medical Oncology Congress (ESMO26) 23/10/2026 ET - 27/10/2026 ET Conference Calendar,100,100,Bull -% / Neutral -% / Bear -%,254888123,2026-07-23 16:10:48,63563123
MGNX,MacroGenics Inc.,4.0100,4.66; 4.81; 4.86; 4.62; 4.62; 4.71; 4.57; 4.75; 4.66; 4.57; 4.33; 4.5; 4.29; 4.32; 4.12; 4.49; 4.32; 4.54; 4.3; 4.01,MGC026,NCT06242470,Advanced Solid Tumors,phase1,Ongoing,Conference Presentation,2026-10-23,"Phase 1 data to be shared at ESMO on October 23, 2026.",European Society for Medical Oncology Congress (ESMO26) 23/10/2026 ET - 27/10/2026 ET Conference Calendar,100,100,Bull -% / Neutral -% / Bear -%,254888123,2026-07-23 16:09:07,63563123
ARGX,argenx SE,924.6000,888.65; 887.18; 912.46; 927.77; 909.5; 939.68; 916.8; 919.94; 915.3; 909.49; 877.62; 876.25; 859.43; 862.93; 857.97; 860.55; 846.19; 874.74; 851.72; 924.6,Empasiprubart - (EMNERGIZE),NCT07091630,Chronic inflammatory demyelinating polyneuropathy (CIDP),phase3,Ongoing,Topline Data,2027-12-31,Topline data due in 2H 2027.,,100,100,Bull -% / Neutral -% / Bear -%,57383346245,2026-07-23 14:07:13,62062888
ARGX,argenx SE,924.6000,888.65; 887.18; 912.46; 927.77; 909.5; 939.68; 916.8; 919.94; 915.3; 909.49; 877.62; 876.25; 859.43; 862.93; 857.97; 860.55; 846.19; 874.74; 851.72; 924.6,Empasiprubart (ARGX-117) - (EMVIGORATE),NCT06920004,Chronic inflammatory demyelinating polyneuropathy (CIDP),phase3,Ongoing,,2027-12-31,Registrational trial ongoing with topline data due in 2H 2027.,,100,100,Bull -% / Neutral -% / Bear -%,57383346245,2026-07-23 14:05:37,62062888
ARGX,argenx SE,924.6000,888.65; 887.18; 912.46; 927.77; 909.5; 939.68; 916.8; 919.94; 915.3; 909.49; 877.62; 876.25; 859.43; 862.93; 857.97; 860.55; 846.19; 874.74; 851.72; 924.6,Empasiprubart (ARGX-117) - (EMPASSION),NCT06742190,Multifocal motor neuropathy (MMN),phase3,Ongoing,Topline Data,2026-12-31,Registrational trial topline data results due in 4Q 2026.,,100,100,Bull -% / Neutral -% / Bear -%,57383346245,2026-07-23 14:05:00,62062888
ARGX,argenx SE,924.6000,888.65; 887.18; 912.46; 927.77; 909.5; 939.68; 916.8; 919.94; 915.3; 909.49; 877.62; 876.25; 859.43; 862.93; 857.97; 860.55; 846.19; 874.74; 851.72; 924.6,Efgartigimod - (UNITY),NCT06684847,Primary Sjögren's disease,phase3,Ongoing,Topline Data,2027-12-31,Phase 3 topline data expected in 2H 2027.,,100,100,Bull -% / Neutral -% / Bear -%,57383346245,2026-07-23 13:46:53,62062888
