Ticker,Name,Price,30 Day Price Change,Drug,NCT Number,Indication,Stage,Status,Next Catalyst,Catalyst Date,Catalyst,Conference,Historical LOA,Historical POP,Bullish or Bearish,Market Cap,Last Updated,No Of Shares
RHHBY,Roche Holding AG ADR,50.2000,50.28; 50.84; 51.63; 50.585; 51.09; 51.41; 51.18; 51.26; 51.29; 51.09; 51.1; 51.86; 51.94; 52.71; 53.34; 52.6; 52.47; 52.36; 52.4,CT-388,,Obesity and type 2 diabetes,phase1,Data Released,Conference Presentation,2026-06-07,"Phase 1b poster to be presented at ADA on June 7, 2026. Phase 1b data reported significant weight loss in healthy adults with obesity compared to placebo, noted May 16, 2024.",American Diabetes Association (ADA26) Annual Meeting 05/06/2026 ET - 08/06/2026 ET Conference Calendar,13.08,63.32,Bull -% / Neutral -% / Bear -%,319800976275,2026-06-01 08:44:29,6370537376
RHHBY,Roche Holding AG ADR,50.2000,50.28; 50.84; 51.63; 50.585; 51.09; 51.41; 51.18; 51.26; 51.29; 51.09; 51.1; 51.86; 51.94; 52.71; 53.34; 52.6; 52.47; 52.36; 52.4,Petrelintide - (ZUPREME-1),,Obesity,phase2,Data Released,Conference Presentation,2026-06-07,"Phase 2 data to be presented at ADA on June 7, 2026. Phase 2 data reported that it achieved up to 10.7% mean body weight reduction at week 42 versus 1.7% with placebo, noted March 6, 2026.",American Diabetes Association (ADA26) Annual Meeting 05/06/2026 ET - 08/06/2026 ET Conference Calendar,20.65,40.16,Bull -% / Neutral -% / Bear -%,319800976275,2026-06-01 08:45:12,6370537376
BMEA,Biomea Fusion Inc.,1.4050,1.48; 1.52; 1.6; 1.63; 1.54; 1.57; 1.58; 1.48; 1.43; 1.35; 1.25; 1.22; 1.33; 1.37; 1.42; 1.41; 1.36; 1.38; 1.38,Icovamenib (BMF-219) - (COVALENT-111),NCT05731544,Type 2 Diabetes,phase2,Data Released,Conference Presentation,2026-06-07,"Additional data to be presented at ADA on June 7, 2026. Phase 2 data reported a higher HbA1c reduction was associated with higher icovamenib exposure, noted December 5, 2025. Phase 2 52-week data reported a sustained treatment benefit in the severe insulin-deficient diabetes patient population taking one or more antihyperglycemic medications at baseline, with a 1.8% placebo adjusted mean reduction in HbA1c, noted October 6, 2025.",American Diabetes Association (ADA26) Annual Meeting 05/06/2026 ET - 08/06/2026 ET Conference Calendar,20.65,40.16,Bull 0% / Neutral 0% / Bear 100%,101580713,2026-05-06 04:31:44,72299440
BGNE,BeiGene Ltd.,184.7100,,BGB-16673-101 - (CaDAnCe-101),,Relapsed or refractory (R/R) CLL/SLL,phase1,Data Released,Conference Presentation,2026-06-11,"Phase 1 data to be presented at EHA on June 11–14, 2026.",European Hematology Association Congress (EHA26) 11/06/2026 ET - 14/06/2026 ET Conference Calendar,9.87,60.87,Bull -% / Neutral -% / Bear -%,19693415398,2026-05-21 07:19:35,106618025
ONC,BeOne Medicines Ltd.,277.0150,297.14; 297.49; 313.32; 317; 312.12; 310.75; 315.07; 316.55; 304.62; 293.27; 293.09; 297.01; 308.74; 309.62; 310.25; 302.44; 300.01; 290.58; 287.92,BGB-16673-101 - (CaDAnCe-101),,Relapsed or refractory (R/R) CLL/SLL,phase1,Data Released,Conference Presentation,2026-06-11,"Phase 1 data to be presented at EHA on June 11–14, 2026.",European Hematology Association Congress (EHA26) 11/06/2026 ET - 14/06/2026 ET Conference Calendar,9.87,60.87,Bull -% / Neutral -% / Bear -%,30796872812,2026-05-21 07:19:35,111174026
ELVN,Enliven Therapeutics Inc.,37.8400,41.61; 41.58; 41.2; 40.29; 40.75; 39.59; 42.3; 43.56; 43.08; 41.34; 39.63; 40.17; 41.86; 42.25; 41.54; 42.53; 41.41; 40.65; 39.57,ELVN-001 - (ENABLE),NCT05304377,Chronic Myeloid Leukemia (CML),phase1,Data Released,Conference Presentation,2026-06-11,"Phase 1b to be shared at EHA  2026 on June 11, 2026. Phase 1b continues to demonstrate a favorable safety and tolerability profile across all dose levels evaluated, consistent with previously reported data, noted January 8, 2026. Phase 3 ENABLE-2 study planned 2H 2026.",European Hematology Association Congress (EHA26) 11/06/2026 ET - 14/06/2026 ET Conference Calendar,9.87,60.87,Bull 0% / Neutral 0% / Bear 100%,2304643157,2026-05-12 10:07:58,60904946
HUMA,Humacyte Inc.,1.4000,0.9248; 0.9019; 0.9833; 1.08; 1.06; 1; 0.91; 1.13; 1; 0.9301; 0.8984; 0.8253; 0.9172; 1.02; 1.05; 1.11; 1.15; 1.28; 1.3,ATEV V012,NCT05908084,Hemodialysis,phase3,Ongoing,Topline Data,2026-06-11,"Phase 3 topline data due top-line interim results are expected to be available for reporting June 11, 2026 at the Society of Vascular Surgery's (SVS) Vascular Annual Meeting (VAM). BLA submission planned 2H 2026.",,58.19,66.44,Bull 100% / Neutral 0% / Bear 0%,310826751,2026-05-26 08:47:18,222019108
SNDX,Syndax Pharmaceuticals Inc.,18.6200,19.96; 20.1; 20.65; 20.54; 21.49; 21.38; 20.41; 20.89; 20.55; 20.23; 19.41; 19.36; 20.13; 19.77; 19.94; 19.9; 19.61; 19.75; 19.59,Revumenib with venetoclax and decitabine/cedazuridine - (SAVE),NCT06652438,R/R or newly diagnosed AML,phase2,Data Released,Conference Presentation,2026-06-12,"Phase 1/2 data to be shared at EHA on June 12, 2026. Phase 2 data reported that the ORR was 86% (18/21) and the complete remission (CR) rate was 76%, noted December 8, 2025.",European Hematology Association Congress (EHA26) 11/06/2026 ET - 14/06/2026 ET Conference Calendar,16.21,33.71,Bull -% / Neutral -% / Bear -%,1649656552,2026-05-12 12:36:08,88595948
NVS,Novartis AG,145.5200,144.62; 145.5; 148.36; 145.39; 146.03; 145.23; 148.16; 149.75; 149.77; 148.08; 149.15; 150.44; 150.45; 151.76; 152.01; 150.8; 151.12; 151.4; 150.17,Ianalumab - (VAYHIT2),,Primary immune thrombocytopenia (ITP),phase3,Data Released,Conference Presentation,2026-06-12,"Phase 3 data to be presented at ASCO on June 12, 2026. Phase 3 data presented at ASH reported that extended ITP disease control by 45% with patients maintaining disease control 2.8 times longer than with placebo plus eltrombopag, noted December 9, 2025. Phase 3 data reported that treatment compared to placebo plus eltrombopag, significantly prolonged the time to treatment failure (TTF), noted August 12, 2025.",American Society of Clinical Oncology Conference (ASCO26) 29/05/2026 ET - 02/06/2026 ET Conference Calendar,55.03,61.74,Bull -% / Neutral -% / Bear -%,277674232328,2026-05-26 07:30:45,1908151679
PHVS,Pharvaris N.V.,29.2850,30.02; 30.02; 30.11; 29.68; 30.09; 29.95; 31.25; 32.94; 30.7; 30.4; 28.81; 28.95; 29.45; 30.54; 29.68; 29.88; 29.47; 29.86; 30.16,PHVS416 - (RAPIDe-3),NCT06343779,Hereditary angioedema - on demand,phase3,Data Released,Conference Presentation,2026-06-12,"Additional data to be presented at EAACI on June 12, 2026.  NDA planned for 1H 2026. Phase 3 study met its primary endpoint, noted on December 3, 2025.",European Academy of Allergy and Clinical Immunology (EAACI 2026) Congress 06/12/2026 ET - 06/12/2026 ET Conference Calendar,57.99,65.84,Bull 71% / Neutral 29% / Bear 0%,2040182076,2026-05-29 07:51:40,69666453
INCY,Incyte Corporation,95.6900,97.14; 97.47; 99.85; 97.77; 98.56; 100.32; 99.13; 98.82; 97.63; 95.31; 95.19; 95.6; 97.08; 97.41; 97.16; 97.1; 97.34; 97.5; 96.74,INCA160058 (JAK2V617F),,Myeloproliferative Neoplasms (MPNs),phase0,Ongoing,Conference Presentation,2026-06-12,"Preclinical data to be shared at EHA on June 12, 2026.",European Hematology Association Congress (EHA26) 11/06/2026 ET - 14/06/2026 ET Conference Calendar,8.39,85,Bull -% / Neutral -% / Bear -%,19114818906,2026-05-12 12:48:59,199757748
INCY,Incyte Corporation,95.6900,97.14; 97.47; 99.85; 97.77; 98.56; 100.32; 99.13; 98.82; 97.63; 95.31; 95.19; 95.6; 97.08; 97.41; 97.16; 97.1; 97.34; 97.5; 96.74,INCA035784 (mutCALR),,Myeloproliferative Neoplasms (MPNs),phase0,Ongoing,Conference Presentation,2026-06-12,"Preclinical data to be shared at EHA on June 13, 2026.",European Hematology Association Congress (EHA26) 11/06/2026 ET - 14/06/2026 ET Conference Calendar,8.39,85,Bull -% / Neutral -% / Bear -%,19114818906,2026-05-12 12:46:28,199757748
CRBU,Caribou Biosciences Inc.,2.4400,1.91; 1.93; 1.95; 1.88; 1.94; 2.03; 2.03; 2.12; 2.14; 2.14; 2.07; 1.97; 2; 1.99; 2.1; 2.16; 2.31; 2.31; 2.36,CB-010 - (ANTLER),NCT04637763,B-Cell Non-Hodgkin Lymphoma,phase1,Data Released,,2026-06-13,"Additional Phase 1 data to be shared at EHA on June 13, 2026. Phase 1 data presented at ASTCT and CIBMTR on February 5, 2026. Phase 1 2L LBCL and CD19 relapsed cohort data demonstrated efficacy and durability comparable to autologous CAR-Ts in LBCL. In the confirmatory cohort (N=22), vispa-cel achieved 82% ORR, 64% CR rate, and 51% 12-month PFS; similar outcomes were seen in a broader optimized cohort (N=35), noted November 3, 2025. Phase 3 planned.",European Hematology Association Congress (EHA26) 11/06/2026 ET - 14/06/2026 ET Conference Calendar,9.87,60.87,Bull 50% / Neutral 33% / Bear 17%,242000603,2026-05-12 14:44:52,99180575
EVAX,Evaxion A/S,3.9500,4.57; 4.4; 4.41; 4.07; 4.34; 4.225; 4.17; 4.16; 4.12; 3.92; 4.09; 3.98; 4; 4.06; 4.08; 4.11; 4.055; 4.1; 4,EVX-04,,Cancer Vaccine,phase1,Trial Planned,Conference Presentation,2026-06-13,"Preclinical data to be shared at EHA on June 13, 2026. AI-based trial study planned with IND due in 2H 2026.  Preclinical data shared at ASH reported that treatment induces targeted immune responses and prevents tumor growth in preclinical models, noted December 6, 2025.",European Hematology Association Congress (EHA26) 11/06/2026 ET - 14/06/2026 ET Conference Calendar,9.87,60.87,Bull -% / Neutral -% / Bear -%,32943849,2026-05-12 12:50:37,8340215
INCY,Incyte Corporation,95.6900,97.14; 97.47; 99.85; 97.77; 98.56; 100.32; 99.13; 98.82; 97.63; 95.31; 95.19; 95.6; 97.08; 97.41; 97.16; 97.1; 97.34; 97.5; 96.74,INCA033989,NCT06034002,Myelofibrosis (MF),phase1,Data Released,Conference Presentation,2026-06-13,"Phase 1 data shared at ASH reported that nearly all MF patients treated with INCA033989 (93.3%; 42/45) experienced improved symptoms, with 60% (27/45) achieving a ≥50% reduction in TSS (TSS50) as best response, noted December 6, 2025. Phase 1 trial data presented at EHA reported that patients at doses 400 mg and above achieved a complete or partial hematologic response with the majority (82%) realizing a complete response, noted June 15, 2025.",European Hematology Association Congress (EHA26) 11/06/2026 ET - 14/06/2026 ET Conference Calendar,15.03,65.07,Bull -% / Neutral -% / Bear -%,19114818906,2026-05-12 12:41:24,199757748
AAPG,Ascentage Pharma Group International,18.7000,22.02; 21.9; 21.57; 21.7; 21.5; 21.66; 21.16; 21.38; 20.18; 19.4999; 18.56; 18.99; 19.78; 20.66; 21.01; 20.127; 20.9; 19.88; 20.01,Olverembatinib (HQP1351) and Lisaftoclax (APG-2575),,Relapsed/refractory Ph+ ALL,phase1,Ongoing,Conference Presentation,2026-06-13,"Phase 1b data to be presented at EHA on June 13, 2026.",European Hematology Association Congress (EHA26) 11/06/2026 ET - 14/06/2026 ET Conference Calendar,9.87,60.87,Bull -% / Neutral -% / Bear -%,1745281248,2026-05-13 05:18:22,93330548
CLYM,Climb Bio Inc.,11.8500,9.69; 11.45; 12.22; 11.91; 11.37; 11.12; 11.17; 11.41; 11.33; 10.8; 9.88; 9.65; 10.52; 10.91; 11; 11.39; 11.96; 11.34; 10.96,Budoprutug (TNT119),NCT07043946,Immune thrombocytopenia,phase1,Ongoing,Conference Presentation,2026-06-13,"Phase 1b/2a ongoing with initial data to be shared at EHA 2026 on June 13 2026. Additional data from higher dose cohorts by year-end 2026. Phase 1b/2a preliminary data to be shared in 2H 2026. Phase 1b/2a ongoing, acquired by Eliem from Tenet Medicines, noted April 11, 2024.",European Hematology Association Congress (EHA26) 11/06/2026 ET - 14/06/2026 ET Conference Calendar,10.17,63.27,Bull -% / Neutral -% / Bear -%,678566823,2026-05-14 07:30:22,57263023
CLLS,Cellectis S.A.,3.4900,3.7; 3.76; 3.95; 3.86; 3.85; 3.98; 3.96; 3.98; 4.07; 3.92; 3.85; 3.63; 3.66; 3.52; 3.5; 3.67; 3.63; 3.63; 3.52,UCART20x22 - (NatHaLi-01),NCT05607420,Non-Hodgkin Lymphoma,phase1,Data Released,Conference Presentation,2026-06-13,"Phase 1 data to be shared at EHA on June 13, 2026. Phase 1 full data set to be shared in 4Q 2026. Phase 1 readout from ASH reported an overall response rate (ORR) of 88% and a complete response (CR) rate of 63% (n=8) at the current dose level, noted December 7, 2025.",European Hematology Association Congress (EHA26) 11/06/2026 ET - 14/06/2026 ET Conference Calendar,7.66,60.87,Bull -% / Neutral -% / Bear -%,253342569,2026-05-12 14:45:21,72590994
CLLS,Cellectis S.A.,3.4900,3.7; 3.76; 3.95; 3.86; 3.85; 3.98; 3.96; 3.98; 4.07; 3.92; 3.85; 3.63; 3.66; 3.52; 3.5; 3.67; 3.63; 3.63; 3.52,UCART22 - (BALLI-01),NCT04150497,Relapsed/refractory B-cell acute lymphoblastic leukemia (B-ALL),phase1,Data Released,Conference Presentation,2026-06-13,"Phase 1 dataset to be shared at EHA on June 13, 2026. Phase 1 data update reported an ORR of 68% with lasme-cel Process 2, noted October 16, 2025. Phase 1/2 data to be shared in 4Q 2026.",European Hematology Association Congress (EHA26) 11/06/2026 ET - 14/06/2026 ET Conference Calendar,7.66,60.87,Bull 30% / Neutral 70% / Bear 0%,253342569,2026-05-12 14:45:08,72590994
NVS,Novartis AG,145.5200,144.62; 145.5; 148.36; 145.39; 146.03; 145.23; 148.16; 149.75; 149.77; 148.08; 149.15; 150.44; 150.45; 151.76; 152.01; 150.8; 151.12; 151.4; 150.17,Pelabresib (DAK539),,Myelofibrosis,phase2,Ongoing,Conference Presentation,2026-06-13,"Phase 2 trial presentation at ASCO on June 13, 2026.",American Society of Clinical Oncology Conference (ASCO26) 29/05/2026 ET - 02/06/2026 ET Conference Calendar,16.21,33.71,Bull -% / Neutral -% / Bear -%,277674232328,2026-05-26 07:33:13,1908151679
RYTM,Rhythm Pharmaceuticals Inc.,88.4650,85.58; 92.31; 96.61; 96.23; 94.17; 87.39; 91.31; 93.72; 93.63; 90.52; 86.84; 87.21; 90.64; 90.19; 87.84; 89.82; 91.42; 92.98; 88.32,Setmelanotide,NCT06772597,Prader-Willi Syndrome,phase2,Data Released,Conference Presentation,2026-06-13,"Phase 2 data due at END O on June 13, 2026. Phase 2 preliminary results reported reductions have been observed in patients with PWS treated with setmelanotide at Month 3 (n=8) and Month 6 (n=5); 17 of 18 enrolled patients remain on therapy, noted December 11, 2025. Complete enrollment in the Phase 1/2, Part D trial evaluating RM-718 in PWS in 2H 2026.",Endocrine Society Congress (ENDO26) 13/06/2026 ET - 16/06/2026 ET Conference Calendar,22.59,38.96,Bull -% / Neutral -% / Bear -%,6062737078,2026-05-29 08:15:51,68532607
MBX,MBX Biosciences Inc.,30.5750,29.44; 29.6; 32.12; 34.71; 40.965; 40.08; 36.98; 37.5; 35.36; 32.45; 30.98; 30.39; 31.43; 31.79; 31.85; 31.75; 31.88; 31.9; 31.47,Canvuparatide (MBX 2109) - (Avail),NCT06465108,Hypoparathyroidism,phase2,Type Meeting,Conference Presentation,2026-06-13,"Phase 2 data presentation due at ENDO on June 13, 2026. EoP2 Meeting with the FDA resulted in plans to advance to Phase 3 as stated and a path toward NDA submission, noted March 9, 2026. Phase 3 trial planned for 3Q 2026. Phase 2 met its primary endpoint with statistical significance, no rescue therapy needed, and sustained improvement in the extension. Positive results in bone and kidney biomarkers. All patients completed the 12-week trial, with 94% entering the OLE, noted September 22, 2025.",Endocrine Society Congress (ENDO) 15/06/2023 ET - 18/06/2023 ET Conference Calendar,21.97,39.11,Bull 0% / Neutral 0% / Bear 100%,1455294663,2026-06-01 08:28:34,47597536
IRON,Disc Medicine Inc.,70.1550,67.64; 67.59; 68.65; 67.53; 68.26; 69.23; 68.53; 70.03; 69.7; 66.86; 66.85; 64.07; 67.03; 67.13; 66.82; 68.12; 69.76; 70.8; 69.57,Bitopertin - (HELIOS),NCT05883748,Erythropoietic Protoporphyria,phase2,Data Released,Conference Presentation,2026-06-13,"Phase 2 OLE additional safety and efficacy data to be shared at EHA on June 13, 2026. Phase 2 OLE results from EHA reported longer term treatment with bitopertin was associated with sustained reductions in the disease-causing toxin PPIX, with additional benefit for patients receiving the 60 mg dose continuously, noted June 12, 2025.",European Hematology Association Congress (EHA26) 11/06/2026 ET - 14/06/2026 ET Conference Calendar,22.59,38.96,Bull -% / Neutral -% / Bear -%,2679857089,2026-05-12 12:55:27,38199089
COGT,Cogent Biosciences Inc.,35.2100,36.73; 36.98; 35.87; 34.79; 34.74; 34.1; 34.53; 34.29; 34.19; 32.68; 31.36; 31.25; 32.925; 32.58; 32.67; 33.94; 34.51; 35.38; 34.96,Bezuclastinib - (APEX),NCT04996875,Advanced Systemic Mastocytosis,phase2,Data Released,Conference Presentation,2026-06-13,"Phase 2 primary results to be shared at EHA on June 13, 2026. Phase 2 presentation due at ASH reported 52% ORR per mIWG criteria, including 83% ORR for patients receiving 100 mg BID, noted December 8, 2024. Phase 2 Part 1 updated results presented at ASH showed a 56% ORR in TKI-naïve patients, including 86% ORR by PPR criteria and 100% ORR in APEX patients treated at 100 mg BID with exposures consistent with go-forward dose. Nearly all patients achieved at least 50% improvement in key biomarkers of disease burden, noted December 11, 2023. Phase 2 study to be completed by year end 2024.",European Hematology Association Congress (EHA26) 11/06/2026 ET - 14/06/2026 ET Conference Calendar,16.21,33.71,Bull 50% / Neutral 0% / Bear 50%,6016262421,2026-05-12 11:05:24,170868004
AGIO,Agios Pharmaceuticals Inc.,28.1000,27.56; 27.21; 26.98; 27.53; 27.79; 27.99; 28.42; 28.77; 28.73; 28.17; 28.21; 27.73; 28.5; 28.79; 28.14; 28.33; 28.62; 30.42; 29.4,Mitapivat - (ENERGIZE-T),NCT04770779,Transfusion-dependent thalassemia,phase3,Data Released,Conference Presentation,2026-06-13,"Phase 3 data to be shared at EHA on June 13, 2026. Phase 3 data presented at ASH on December 8, 2025. Regulatory submission completed in December 2024. Phase 3 data presented at ASH reported that TRR was achieved by 30.4% (n=52/171) of patients in the mitapivat arm compared to 12.6% (n=11/87) of patients in the placebo arm, noted December 8, 2024.",European Hematology Association Congress (EHA26) 11/06/2026 ET - 14/06/2026 ET Conference Calendar,59.18,68.24,Bull -% / Neutral -% / Bear -%,1671152213,2026-05-12 11:03:36,59471609
INCY,Incyte Corporation,95.6900,97.14; 97.47; 99.85; 97.77; 98.56; 100.32; 99.13; 98.82; 97.63; 95.31; 95.19; 95.6; 97.08; 97.41; 97.16; 97.1; 97.34; 97.5; 96.74,MONJUVI (tafasitamab) - (frontMIND),NCT04824092,Diffuse Large B-Cell Lymphoma (DLBCL),phase3,Ongoing,Conference Presentation,2026-06-13,"Phase 3 data to be shared at EHA on June 13, 2026. Phase 3 study met its primary endpoint, noted January 5, 2026. sBLA planned 1H 2026.",European Hematology Association Congress (EHA26) 11/06/2026 ET - 14/06/2026 ET Conference Calendar,48.08,54.19,Bull 100% / Neutral 0% / Bear 0%,19114818906,2026-06-01 08:29:34,199757748
NVS,Novartis AG,145.5200,144.62; 145.5; 148.36; 145.39; 146.03; 145.23; 148.16; 149.75; 149.77; 148.08; 149.15; 150.44; 150.45; 151.76; 152.01; 150.8; 151.12; 151.4; 150.17,MONJUVI (tafasitamab) - (frontMIND),NCT04824092,Diffuse Large B-Cell Lymphoma (DLBCL),phase3,Ongoing,Conference Presentation,2026-06-13,"Phase 3 data to be shared at EHA on June 13, 2026. Phase 3 study met its primary endpoint, noted January 5, 2026. sBLA planned 1H 2026.",European Hematology Association Congress (EHA26) 11/06/2026 ET - 14/06/2026 ET Conference Calendar,48.08,54.19,Bull 100% / Neutral 0% / Bear 0%,277674232328,2026-06-01 08:29:34,1908151679
NTLA,Intellia Therapeutics Inc.,13.8850,13.87; 13.31; 13.85; 13.71; 14.09; 14.42; 13.99; 14.28; 13.09; 13.67; 12.69; 11.94; 12.26; 12.37; 12.6; 12.61; 13.44; 13.68; 14.07,"Lonvoguran ziclumeran (lonvo-z, formerly NTLA-2002) - (HAELO)",NCT06634420,Hereditary angioedema (HAE),phase4,Ongoing,,2026-06-13,"Additional Phase 3 HAELO data for lonvoguran ziclumeran (lonvo-z) in hereditary angioedema will be presented in a late-breaking oral presentation at EAACI 2026 on June 13, 2026, noted June 1, 2026.",European Academy of Allergy and Clinical Immunology (EAACI 2026) Congress 06/12/2026 ET - 06/12/2026 ET Conference Calendar,57.99,65.84,Bull 54% / Neutral 15% / Bear 31%,1940043816,2026-06-01 07:57:23,139722277
BEAM,Beam Therapeutics Inc.,31.4100,30.08; 28.9; 32.34; 31.47; 32.32; 31.75; 31.58; 31.85; 29.53; 27.93; 26.81; 26.33; 27.11; 27.67; 28.64; 29.79; 31.89; 32.8; 32.93,"Ristoglogene autogetemcel (risto-cel, formerly known as BEAM-101) - (BEACON)",NCT05456880,Sickle cell disease,phase4,Data Released,Conference Presentation,2026-06-13,"Phase 1/2 data to be shared at EHA on June 13, 2026. BLA planned for year-end 2026. Phase 1/2 data shared at ASH reported mean peripheral blood editing was 67.4% at Month 6 and 72.8% by Month 12, noted December 6, 2025. Phase 1/2 FDA has granted Regenerative Medicine Advanced Therapy (RMAT) designation, as noted on August 14, 2025.",European Hematology Association Congress (EHA26) 11/06/2026 ET - 14/06/2026 ET Conference Calendar,86.73,86.73,Bull 100% / Neutral 0% / Bear 0%,3231436112,2026-05-12 11:12:29,102879214
KURA,Kura Oncology Inc.,9.3200,9.25; 9.29; 9.56; 9.32; 9.42; 9.51; 9.68; 9.48; 9.74; 9.22; 9.2; 8.96; 10.34; 11.13; 11.25; 10.41; 10.24; 9.97; 10.2,Ziftomenib (in combination with SoC  cytarabine/daunorubicin (7+3) and venetoclax/azacitidine (ven/aza))- (KOMET-007),NCT05735184,Acute myeloid leukemia (AML),phase1,Data Released,Conference Presentation,2026-06-14,"Phase 1 data to be shared at EHA on June 14, 2026. Phase 1 enrollment ongoing with accelerated FDA review in 2028.. Phase 1a/1b data reported that 68% of CRc responders achieved molecular MRD negativity by central next-generation sequencing (NGS), noted December 8, 2025. Phase 1b new cohort dosing commenced, noted  September 30, 2025.",European Hematology Association Congress (EHA26) 11/06/2026 ET - 14/06/2026 ET Conference Calendar,9.87,60.87,Bull 0% / Neutral 0% / Bear 100%,827377082,2026-05-12 14:29:29,88774365
KYKOF,Kyowa Kirin Co. Ltd.,14.4250,15.05; 15.05; 15.05; 15.05; 15.05; 15.05; 14.425; 14.425; 14.425; 14.425; 14.425; 14.425; 14.425; 14.425; 14.425; 14.425; 14.425; 14.425; 14.425,Ziftomenib (in combination with SoC  cytarabine/daunorubicin (7+3) and venetoclax/azacitidine (ven/aza))- (KOMET-007),NCT05735184,Acute myeloid leukemia (AML),phase1,Data Released,Conference Presentation,2026-06-14,"Phase 1 data to be shared at EHA on June 14, 2026. Phase 1 enrollment ongoing with accelerated FDA review in 2028.. Phase 1a/1b data reported that 68% of CRc responders achieved molecular MRD negativity by central next-generation sequencing (NGS), noted December 8, 2025. Phase 1b new cohort dosing commenced, noted  September 30, 2025.",European Hematology Association Congress (EHA26) 11/06/2026 ET - 14/06/2026 ET Conference Calendar,9.87,60.87,Bull 0% / Neutral 0% / Bear 100%,7753030715,2026-05-12 14:29:29,540000000
GMAB,Genmab A/S,25.5300,27.04; 27.52; 27.89; 27.06; 26.43; 26.18; 27.09; 26.55; 26.9; 26.54; 26.37; 25.68; 27.21; 27.05; 26.87; 26.89; 26.71; 27.04; 26.33,Venetoclax Plus Epcoritamab - (HOVON 165/AETHER),,Relapsed or Refractory Chronic Lymphocytic Leukemia or Small Lymphocytic Lymphoma,phase1,Ongoing,Conference Presentation,2026-06-14,"Phase 1/2 data to be presented at EHA on June 14, 2026.",European Hematology Association Congress (EHA26) 11/06/2026 ET - 14/06/2026 ET Conference Calendar,7.66,60.87,Bull -% / Neutral -% / Bear -%,16400065562,2026-05-22 07:35:17,642384080
XOMA,XOMA Royalty Corporation,41.6600,41.04; 41.66; 41.6; 41.29; 41.89; 41.5; 41.75; 41.8; 42; 41.75; 41.64; 41.54; 41.98; 41.82; 41.65; 41.72; 41.74; 41.7; 41.71,Seralutinib (GB002) - (TORREY/PROSERA),NCT05934526,Pulmonary arterial hypertension (PAH),phase4,Trial Planned,End of Phase Meeting,2026-06-15,"FDA Confirms In-Person Pre-NDA Type B Meeting in Mid-June. Phase 3 topline data demonstrated a placebo-adjusted improvement in Six-Minute Walk Distance (6MWD) of +13.3 meters at Week 24 (p = 0.0320), which did not meet the prespecified threshold on the primary endpoint of p = 0.025, noted February 23, 2026. Gossamer plans to meet with the U.S. FDA to discuss the path forward.",,60.58,67.44,Bull 86% / Neutral 14% / Bear 0%,522459310,2026-05-18 07:53:28,12541030
LGND,Ligand Pharmaceuticals Incorporated,226.0000,228.36; 232.3; 232.55; 210.33; 221.41; 220.48; 222; 221.21; 218.98; 213.21; 207.89; 207.78; 217.75; 222.18; 229.33; 235.33; 235.89; 234.66; 231.96,Seralutinib (GB002) - (TORREY/PROSERA),NCT05934526,Pulmonary arterial hypertension (PAH),phase4,Trial Planned,End of Phase Meeting,2026-06-15,"FDA Confirms In-Person Pre-NDA Type B Meeting in Mid-June. Phase 3 topline data demonstrated a placebo-adjusted improvement in Six-Minute Walk Distance (6MWD) of +13.3 meters at Week 24 (p = 0.0320), which did not meet the prespecified threshold on the primary endpoint of p = 0.025, noted February 23, 2026. Gossamer plans to meet with the U.S. FDA to discuss the path forward.",,60.58,67.44,Bull 86% / Neutral 14% / Bear 0%,4529279786,2026-05-18 07:53:28,20041061
GOSS,Gossamer Bio Inc.,0.2055,0.3504; 0.336; 0.3502; 0.3437; 0.327; 0.3387; 0.3406; 0.3436; 0.33; 0.34; 0.1927; 0.1991; 0.2153; 0.2009; 0.2101; 0.22; 0.2179; 0.2111; 0.2309,Seralutinib (GB002) - (TORREY/PROSERA),NCT05934526,Pulmonary arterial hypertension (PAH),phase4,Trial Planned,End of Phase Meeting,2026-06-15,"FDA Confirms In-Person Pre-NDA Type B Meeting in Mid-June. Phase 3 topline data demonstrated a placebo-adjusted improvement in Six-Minute Walk Distance (6MWD) of +13.3 meters at Week 24 (p = 0.0320), which did not meet the prespecified threshold on the primary endpoint of p = 0.025, noted February 23, 2026. Gossamer plans to meet with the U.S. FDA to discuss the path forward.",,60.58,67.44,Bull 86% / Neutral 14% / Bear 0%,48227739,2026-05-18 07:53:28,234696281
GSK,GSK plc American Depositary Shares (Each representing two),49.4500,50.495313660170495; 49.97944798034165; 50.12825538798458; 50.09849390645599; 50.00920946187023; 49.41397983129848; 50.495313660170495; 50.58459810475626; 50.55483662322767; 49.67; 50.26; 51.05; 50.78; 51.53; 51.38; 51.5; 51.58; 51.24; 50.54,Tebipenem HBr (SPR994) - (PIVOT-PO),NCT06059846,"Complicated urinary tract infection (cUTI), including acute pyelonephritis (AP)",phase5,Ongoing,Regulatory Decision,2026-06-18,"PDUFA date June 18, 2026.",,87.58,87.58,Bull 100% / Neutral 0% / Bear 0%,101002330570,2026-05-13 17:17:26,2039412554
