Ticker,Name,Price,30 Day Price Change,Drug,NCT Number,Indication,Stage,Status,Next Catalyst,Catalyst Date,Catalyst,Conference,Historical LOA,Historical POP,Bullish or Bearish,Market Cap,Last Updated,No Of Shares
REPL,Replimune Group Inc.,10.7100,4.68; 8.69; 9; 8.87; 9.98; 9.87; 9.47; 8.97; 9.24; 8.47; 8.62; 8.88; 8.96; 8.78; 10; 10.19; 11.18; 11.42; 11.27; 11.13,RP1 (vusolimogene oderparepvec) and OPDIVO (nivolumab) - (IGNYTE-3),NCT06264180,Non-melanoma (NMSC) / Non-small cell lung cancer (NSCLC),phase5,,,2026-07-31,"PDUFA review date of August 2, 2026 with an Advisory meeting in late July 2026. BLA resubmission completed June 26, 2026. CRL issued on April 10, 2026.",,100,100,Bull -% / Neutral -% / Bear -%,884352749,2026-06-26 09:05:23,82572619
TSHA,Taysha Gene Therapies Inc.,6.2600,5.92; 5.87; 5.97; 5.69; 5.55; 5.89; 5.5; 5.43; 5.36; 5.4; 5.58; 5.71; 5.97; 5.85; 6.19; 6.42; 6.53; 6.86; 6.94; 6.21,TSHA-102 - (REVEAL),NCT05606614,Rett syndrome,phase1,Data Released,Conference Presentation,2026-06-29,"Phase 1/2 Part A data demonstrated early, durable treatment effect across all 12 pediatric, adolescent and adult patients, with responses continuing to deepen over time. On average, patients achieved 26 functional gains across core disease domains affecting activities of daily living at ≥12 months post-treatment, as noted on June 22, 2026. Robust and clinically meaningful responses at both 6 and ≥12 months in REVEAL Part A further support potential for BLA submission based on REVEAL pivotal trial 6-month interim analysis, which is planned along with topline results in 1H 2027. Data to be presented at the IRSF Rett Syndrome Scientific Meeting 2026, noted June 25, 2026.",,100,100,Bull -% / Neutral -% / Bear -%,1798879985,2026-06-25 16:53:18,287361020
MPLT,MapLight Therapeutics Inc.,32.9175,29.78; 29.31; 29.76; 27.34; 28.34; 30.1; 28.01; 29.46; 29.27; 27.8; 30.35; 27.75; 27.96; 27.16; 29.21; 28.82; 29.79; 28.64; 30.65; 31.96,ML-007C-MA - (VISTA),NCT06887192,Psychosis Associated With Alzheimer's Disease,phase2,Ongoing,Topline Data,2027-12-31,"Phase 2 enrollment is ongoing, with topline results expected in 2H 2027.",,100,100,Bull -% / Neutral -% / Bear -%,1492666290,2026-06-25 11:54:02,45345676
MPLT,MapLight Therapeutics Inc.,32.9175,29.78; 29.31; 29.76; 27.34; 28.34; 30.1; 28.01; 29.46; 29.27; 27.8; 30.35; 27.75; 27.96; 27.16; 29.21; 28.82; 29.79; 28.64; 30.65; 31.96,ML-007C-MA - (ZEPHYR),NCT07038876,Schizophrenia,phase2,Ongoing,Topline Data,2026-08-31,"Phase 2 is ongoing, with topline data expected by mid-August 2026.",,100,100,Bull -% / Neutral -% / Bear -%,1492666290,2026-06-25 11:51:49,45345676
MCRB,Seres Therapeutics Inc.,7.1300,7.58; 7.32; 7.64; 7.33; 7.17; 6.85; 6.63; 6.28; 6.33; 6.49; 6.32; 5.7; 5.62; 5.97; 6.46; 6.61; 6.6; 7.05; 6.81; 6.845,SER-155,NCT06801067,Allogeneic Hematopoietic Stem Cell Transplantation,phase2,Looking for Funding,Conference Presentation,2026-07-08,"Phase 2 topline results to be shared at webcast on July 8, 2026. Phase 2 finalized protocol with the FDA but is pausing further investment in the program while seeking funding, noted February 12, 2026. Phase 2 study results presented ESCMID 2026 showed its live biotherapeutic SER-155 drove durable GI microbiome shifts, improved epithelial barrier integrity, and aligned with reduced bloodstream infection risk in allo-HCT patients, supporting continued development in immunocompromised and IBD populations, noted April 21, 2026.",,100,100,Bull -% / Neutral -% / Bear -%,69046449,2026-06-25 08:15:49,9683934
AVIR,Atea Pharmaceuticals Inc.,4.4700,4.73; 4.67; 4.38; 4.27; 4.21; 4.42; 4.25; 4.32; 4.36; 4.39; 4.36; 4.49; 4.35; 4.26; 4.33; 4.36; 4.39; 4.48; 4.48; 4.35,Bemnifosbuvir and ruzasvir (RZR) - (C-FORWARD),NCT07037277,Hepatitis C Virus (HCV),phase3,Enrollment Initiation,Topline Data,2026-12-31,"Phase 3 C-FORWARD completed enrollment of over 880 treatment-naïve HCV patients across 17 countries, evaluating the regimen against sofosbuvir/velpatasvir, noted June 25, 2026. Phase 3 topline results expected year-end 2026.",,100,100,Bull -% / Neutral -% / Bear -%,357721133,2026-06-25 08:12:43,80027099
AGEN,Agenus Inc.,3.0401,3.4; 3.5; 3.48; 3.38; 3.22; 3.395; 3.23; 3.14; 3.11; 3.07; 3.39; 3.3; 3.25; 2.98; 2.96; 3; 3.04; 3.07; 2.92; 2.88,botensilimab (BOT) and balstilimab (BAL)  - (BBoPCO),NCT06268015,"1L microsatellite stable colorectal cancer (MSS CRC) without liver, bone, or brain metastasis",phase2,Ongoing,Conference Presentation,2026-07-02,"Phase 1b data to be shared at ASCO GI on July 2, 2026. Phase 2 ongoing.",American Society of Clinical Oncology Gastrointestinal Cancers Symposium (ASCO GI 26) 08/01/2026 ET - 10/01/2026 ET Conference Calendar,100,100,Bull -% / Neutral -% / Bear -%,126597154,2026-06-25 08:09:32,41642431
TLSA,Tiziana Life Sciences Ltd,1.1650,1.46; 1.41; 1.4; 1.36; 1.18; 1.27; 1.24; 1.22; 1.22; 1.16; 1.13; 1.1; 1.11; 1.1; 1.08; 1.16; 1.15; 1.16; 1.12; 1.13,Foralumab - (INFORM-MS),NCT06292923,"Non-active, secondary-progressive multiple sclerosis (na-SPMS)",phase2,Ongoing,Topline Data,2026-12-31,Phase 2a topline data expected 3Q 2026.,ACTRIMS Forum 29/02/2024 ET - 02/03/2024 ET Conference Calendar,100,100,Bull -% / Neutral -% / Bear -%,148256888,2026-06-25 08:07:59,127259131
MSLE,Satellos Bioscience Inc.,6.7400,7.03; 7.3; 7.09; 6.95; 6.12; 6.01; 5.62; 6.08; 6.38; 5.88; 5.9; 5.75; 5.75; 5.75; 5.85; 5.71; 5.79; 5.67; 5.62; 6.71,SAT-3247 (CL-101) - (BASECAMP),NCT07287189,"Healthy volunteers, Duchenne muscular dystrophy",phase2,Data Released,Conference Presentation,2026-07-08,"Phase 1b 6-month update data to be shared at ICNMD on July 8, 2026. Phase 2 additional clinical sites throughout 2Q 2026, remains on track to complete enrollment in 3Q 2026 with data due in 4Q 2026. Phase 1a/b data reported that treatment had a favoriable safety profile, with 118.6% and 97.9% Increases in Grip Strength in Dominant and Non-Dominant hands, noted March 11, 2026.",International Congress on Neuromuscular Diseases (ICNMD) 25/10/2024 ET - 29/10/2024 ET Conference Calendar,100,100,Bull -% / Neutral -% / Bear -%,141749952,2026-06-25 08:05:00,20831190
MSLE,Satellos Bioscience Inc.,6.7400,7.03; 7.3; 7.09; 6.95; 6.12; 6.01; 5.62; 6.08; 6.38; 5.88; 5.9; 5.75; 5.75; 5.75; 5.85; 5.71; 5.79; 5.67; 5.62; 6.71,SAT-3247 (LT-001) - (TRAILHEAD),NCT06867107,Duchenne Muscular Dystrophy Adult Study,phase2,Ongoing,Conference Presentation,2026-07-08,"Phase 2 data to be shared at ICNMD 2026 on July 8, 2026. Phase 2 OLE study enrollment to be completed during 2Q 2026. Study updates expected throughout 2026.",International Congress on Neuromuscular Diseases (ICNMD) 25/10/2024 ET - 29/10/2024 ET Conference Calendar,100,100,Bull -% / Neutral -% / Bear -%,141749952,2026-06-25 08:02:34,20831190
HCM,HUTCHMED (China) Limited,10.1500,11.23; 11.45; 11.4; 11.52; 11.31; 11.17; 10.87; 10.85; 10.63; 10.87; 10.68; 10.96; 10.83; 10.49; 10.12; 10.28; 9.99; 10.16; 10.27; 10.29,fanregratinib  - (HMPL-453),NCT04353375,Intrahepatic cholangiocarcinoma (IHCC),phase2,Data Released,Conference Presentation,2026-07-01,"Pivotal Phase 2 registration data demonstrated an ORR of 42.5% with median DoR of 6.9 months, DCR of 83.9%, median PFS of 6.9 months. Data to be presented at ESMO GI 2026.",ESMO World Congress on Gastrointestinal Cancer 28/06/2023 ET - 01/07/2023 ET Conference Calendar,100,100,Bull -% / Neutral -% / Bear -%,1770825069,2026-06-25 07:57:54,174465524
KYMR,Kymera Therapeutics Inc.,115.0100,81.46; 81.42; 78.47; 71.29; 73.21; 74.61; 74.13; 73.95; 76.91; 78.23; 82.96; 86.205; 85.59; 87.44; 89.9; 90.43; 99.45; 98.25; 99.87; 116.46,KT-621 - (BREADTH),NCT07323654,Asthma,phase2,Ongoing,Topline Data,2027-12-31,"Phase 1 data presented at JDA demonstrated robust STAT6 degradation to a favorable safety profile, noted June 12, 2026. Fast track designation granted by the FDA, noted April 13, 2026. Phase 2b initiated, with data expected in late-2027.",,100,100,Bull -% / Neutral -% / Bear -%,9460445196,2026-06-25 07:45:57,82257588
KYMR,Kymera Therapeutics Inc.,115.0100,81.46; 81.42; 78.47; 71.29; 73.21; 74.61; 74.13; 73.95; 76.91; 78.23; 82.96; 86.205; 85.59; 87.44; 89.9; 90.43; 99.45; 98.25; 99.87; 116.46,KT-621 - (BroADen2),NCT07217015,Atopic dermatitis,phase2,Ongoing,Topline Data,2027-12-31,"Phase 2b BROADEN2 completed enrollment nearly six months ahead of schedule. Topline data now expected year-end 2026, with Phase 3 initiation planned by mid-2027, noted June 25, 2026.",,100,100,Bull -% / Neutral -% / Bear -%,9460445196,2026-06-25 07:45:01,82257588
RVMD,Revolution Medicines Inc - Ordinary Shares,179.8950,154.63; 157.48; 163.68; 151.31; 155.99; 155.69; 149.23; 148.49; 149.55; 144.19; 149.23; 153.87; 160.06; 156.58; 157.77; 162.99; 165.81; 169.51; 169.77; 178.17,Daraxonrasib (RMC-GI-102) plus gemcitabine and nab-paclitaxel - (RASolute 303),NCT06445062,Metastatic Pancreatic Adenocarcinoma,phase3,Ongoing,Conference Presentation,2026-07-03,"Phase 3 OLE data to be shared at ASCO GI on July 3, 2026. Phase 1/2 data shared at AACR achieved a 58% confirmed ORR in 40 previously untreated RAS-mutant metastatic PDAC patients, with manageable safety, no Grade 5 TRAEs, and 6-month PFS and OS estimates of 84% and 90%, respectively, supporting continued Phase 3 development, noted April 21, 2026.",American Society of Clinical Oncology Gastrointestinal Cancers Symposium (ASCO GI 26) 08/01/2026 ET - 10/01/2026 ET Conference Calendar,100,100,Bull -% / Neutral -% / Bear -%,38245040531,2026-06-25 07:37:51,212596462
AVIR,Atea Pharmaceuticals Inc.,4.4700,4.73; 4.67; 4.38; 4.27; 4.21; 4.42; 4.25; 4.32; 4.36; 4.39; 4.36; 4.49; 4.35; 4.26; 4.33; 4.36; 4.39; 4.48; 4.48; 4.35,SVR12 in combination of bemnifosbuvir and ruzasvir - (C-BEYOND),,Hepatitis C virus (HCV),phase3,Enrollment Conclusion,Topline Data,2026-08-31,Phase 3 topline result due in mid-2026.,,100,100,Bull -% / Neutral -% / Bear -%,357721133,2026-06-25 07:33:45,80027099
RVMD,Revolution Medicines Inc - Ordinary Shares,179.8950,154.63; 157.48; 163.68; 151.31; 155.99; 155.69; 149.23; 148.49; 149.55; 144.19; 149.23; 153.87; 160.06; 156.58; 157.77; 162.99; 165.81; 169.51; 169.77; 178.17,Daraxonrasib - (RASolute 304),NCT07252232,Resectable pancreatic ductal adenocarcinoma (PDAC),phase3,Ongoing,Conference Presentation,2026-07-03,"Phase 3 data to be shared at ESMO GI on July 3, 2026. Phase 3 first patient randomized December 18, 2025.",ESMO World Congress on Gastrointestinal Cancer (ESMO GI2026) 01/07/2026 ET - 04/07/2026 ET Conference Calendar,100,100,Bull -% / Neutral -% / Bear -%,38245040531,2026-06-25 07:32:46,212596462
RVMD,Revolution Medicines Inc - Ordinary Shares,179.8950,154.63; 157.48; 163.68; 151.31; 155.99; 155.69; 149.23; 148.49; 149.55; 144.19; 149.23; 153.87; 160.06; 156.58; 157.77; 162.99; 165.81; 169.51; 169.77; 178.17,Zoldonrasib (RMC-9805),NCT06040541,"Pancreatic cancer, non-small cell lung cancer (NSCLC), and colorectal cancer.",phase1,Data Released,Conference Presentation,2026-07-02,"Phase 1 safety and efficacy to be shared at ESMO GI on July 2, 2026. Phase 1 data due at AACR reported an overall survival (OS) data were immature at the time of analysis, and median OS was not yet reached with median potential follow-up of 13.1 months, noted April 20, 2026.",ESMO World Congress on Gastrointestinal Cancer (ESMO GI2026) 01/07/2026 ET - 04/07/2026 ET Conference Calendar,100,100,Bull -% / Neutral -% / Bear -%,38245040531,2026-06-25 07:30:47,212596462
PRQR,ProQR Therapeutics N.V.,1.5900,1.57; 1.58; 1.42; 1.47; 1.47; 1.53; 1.5; 1.53; 1.47; 1.41; 1.44; 1.44; 1.56; 1.52; 1.67; 1.89; 1.88; 1.89; 1.81; 1.565,AX-2911(PNPLA3),,PNPLA3 for MASH,phase1,Trial Planned,Initial Data,2027-06-30,Phase 1 clinical trial initiation in China and data expected in 1H 2027.,,100,100,Bull -% / Neutral -% / Bear -%,167524092,2026-06-25 07:23:51,105361064
PRQR,ProQR Therapeutics N.V.,1.5900,1.57; 1.58; 1.42; 1.47; 1.47; 1.53; 1.5; 1.53; 1.47; 1.41; 1.44; 1.44; 1.56; 1.52; 1.67; 1.89; 1.88; 1.89; 1.81; 1.565,AX-0422,,Hurler syndrome,phase0,Ongoing,Initial Data,2027-06-30,"CTA filing for a first-in-patient study anticipated in early 2027 and initial data expected in the first half of 2027. Preclinical presentation at TIDES USA on May 13, 2026.",,100,100,Bull -% / Neutral -% / Bear -%,167524092,2026-06-25 07:21:16,105361064
PRQR,ProQR Therapeutics N.V.,1.5900,1.57; 1.58; 1.42; 1.47; 1.47; 1.53; 1.5; 1.53; 1.47; 1.41; 1.44; 1.44; 1.56; 1.52; 1.67; 1.89; 1.88; 1.89; 1.81; 1.565,AX-0811,,NTCP-targeting RNA editing oligonucleotide generated,phase0,Ongoing,Initial Data,2026-12-31,"CTA submission in mid-2026 for AX-0811, with initial human clinical data in healthy volunteers anticipated by year-end 2026.",,100,100,Bull -% / Neutral -% / Bear -%,167524092,2026-06-25 07:19:18,105361064
PRQR,ProQR Therapeutics N.V.,1.5900,1.57; 1.58; 1.42; 1.47; 1.47; 1.53; 1.5; 1.53; 1.47; 1.41; 1.44; 1.44; 1.56; 1.52; 1.67; 1.89; 1.88; 1.89; 1.81; 1.565,AX-0810,,"Healthy volunteers, deficiency of sodium taurocholate cotransporting polypeptide (NTCP), cholestatic diseases",phase1,Ongoing,Initial Data,2026-12-31,"Phase 1 study in healthy volunteers demonstrated dose-dependent target engagement on all key biomarkers in the evaluable 3 mg/kg and 6 mg/kg cohorts, noted June 25, 2026. Phase 1 data from the 9 mg/kg cohort and 12-week follow-up expected by year-end 2026",,100,100,Bull -% / Neutral -% / Bear -%,167524092,2026-06-25 07:17:14,105361064
